SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539874,UJJIVAN     ,A ,Q,333.10,342.15,326.30,338.80,338.80,334.50,1522,110735,37009872.00,
539875,RSDFIN      ,X ,Q,51.75,51.75,51.75,51.75,51.75,49.30,1,100,5175.00,
539876,CROMPTON    ,A ,Q,237.90,237.90,232.85,234.45,234.00,241.25,1047,16598,3894669.00,
539883,PILANIINVS  ,B ,Q,2487.00,2500.00,2395.00,2437.15,2440.00,2441.95,68,1770,4309906.00,
539884,DARSHANORNA ,B ,Q,36.85,36.85,35.50,36.00,35.50,35.10,28,2872,104509.00,
539889,PARAGMILK   ,A ,Q,244.60,248.35,244.00,246.20,245.70,244.60,380,10881,2677484.00,
539917,NAGARFERT   ,B ,Q,5.94,6.06,5.76,5.90,5.93,6.07,208,92990,551831.00,
539921,SEIL        ,B ,Q,99.00,99.00,99.00,99.00,99.00,99.00,1,50000,4950000.00,
539938,MIL         ,X ,Q,105.00,105.00,98.50,98.50,98.50,101.05,8,500,49760.00,
539939,YASHCHEM    ,B ,Q,103.00,103.00,97.00,98.05,97.80,100.95,97,13315,1313758.00,
539940,MAXVIL      ,B ,Q,45.25,45.35,44.55,44.65,44.65,44.80,25,991,44652.00,
539944,RXXX1SR2G   ,F ,Q,12.25,12.75,12.17,12.75,12.75,12.25,3,4600,56200.00,
539945,ICICINV20   ,B ,Q,57.50,57.51,57.25,57.51,57.51,57.83,3,22,1264.00,
539956,TAALENT     ,X ,Q,279.90,279.90,255.05,260.00,260.00,258.05,11,511,139785.00,
539957,MGL         ,A ,Q,876.00,883.10,871.05,878.75,883.00,878.25,530,11485,10074744.00,
539962,QFSL        ,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,8,7025,1334.00,
539963,ZEAL        ,M ,Q,103.00,103.00,103.00,103.00,103.00,109.10,1,750,77250.00,
539978,QUESS       ,A ,Q,616.00,623.05,614.05,619.60,619.60,613.20,279,2228,1378073.00,
539979,DIGJAMLTD   ,T ,Q,3.02,3.02,2.74,2.77,2.77,2.88,51,25146,72356.00,
539980,ICICIMCAP   ,B ,Q,67.02,67.02,65.94,66.00,66.00,67.02,4,9,594.00,
539981,MAXINDIA    ,A ,Q,67.05,67.85,63.55,65.15,66.40,67.05,188,11730,766667.00,
539984,HUIL        ,X ,Q,650.00,650.00,645.00,647.00,647.00,637.00,7,111,71739.00,
539985,TITAANIUM   ,M ,Q,4.60,4.90,4.20,4.90,4.90,4.85,4,32000,147200.00,
539986,COMSYN      ,B ,Q,53.00,53.00,50.00,51.50,51.50,53.25,21,4416,223647.00,
539992,LLOYDSTEEL  ,B ,Q,0.58,0.58,0.55,0.56,0.56,0.57,65,120792,67981.00,
540005,LTI         ,A ,Q,1787.25,1791.70,1752.00,1758.00,1757.75,1793.45,829,6597,11672477.00,
540006,EASTWEST    ,X ,Q,120.50,121.25,119.30,120.60,119.30,119.90,13,3180,383614.00,
540023,COLORCHIPS  ,X ,Q,37.45,37.45,37.45,37.45,37.45,37.45,5,41,1535.00,
540024,ASHARI      ,XT,Q,18.00,18.35,17.65,18.25,18.10,18.00,127,39430,711067.00,
540025,ADVENZYMES  ,A ,Q,192.05,192.05,183.10,186.40,186.90,193.50,263,5930,1102592.00,
540026,LAHL        ,XT,Q,2.50,2.50,2.50,2.50,2.50,2.43,1,1000,2500.00,
540027,PTIL        ,T ,Q,424.00,426.00,423.50,423.50,423.50,424.00,19,2630,1116153.00,
540047,DBL         ,A ,Q,448.60,449.45,414.20,435.85,435.85,443.10,2169,53692,23150975.00,
540048,SPAL        ,B ,Q,271.95,271.95,271.95,271.95,271.95,264.10,1,55,14957.00,
540061,BIGBLOC     ,B ,Q,32.95,32.95,32.95,32.95,32.95,34.65,1,20,659.00,
540063,ECS         ,XT,Q,3.41,3.41,3.41,3.41,3.41,3.51,1,45,153.00,
540064,FRETAIL     ,A ,Q,468.00,472.00,455.40,460.00,460.00,471.70,448,20188,9321872.00,
540065,RBLBANK     ,A ,Q,657.70,657.70,632.45,639.25,640.30,660.05,2589,123195,79128322.00,
540071,CAMSONSEEDS ,Z ,Q,3.70,3.70,3.52,3.52,3.52,3.70,21,1817,6396.00,
540072,SHIVAEXPO   ,M ,Q,5.10,5.10,5.10,5.10,5.10,5.60,1,10000,51000.00,
540073,BLS         ,B ,Q,116.60,116.60,110.60,113.00,113.00,115.60,187,6841,770907.00,
540080,NARAYANI    ,B ,Q,47.90,47.90,40.20,41.00,42.70,43.85,118,11456,489550.00,
540082,RSTL        ,M ,Q,16.50,16.50,16.50,16.50,16.50,16.80,10,156000,2574000.00,
540083,TVVISION    ,T ,Q,2.57,2.73,2.57,2.73,2.73,2.60,3,500,1301.00,
540089,SDAFXVIIGR  ,F ,Q,11.49,11.49,11.49,11.49,11.49,10.45,1,99,1137.00,
540108,TAHL        ,X ,Q,112.00,112.00,100.00,104.35,104.35,103.20,54,2879,298088.00,
540115,LTTS        ,A ,Q,1710.00,1748.05,1708.00,1735.80,1739.00,1713.30,1190,7437,12893098.00,
540124,GNA         ,B ,Q,283.80,284.60,282.00,283.85,282.00,286.60,85,1850,523854.00,
540125,RADHIKAJWE  ,M ,Q,24.50,25.00,24.50,25.00,25.00,25.25,3,33600,839200.00,
540133,ICICIPRULI  ,A ,Q,371.10,371.10,360.00,361.20,361.20,371.10,2065,87687,31866434.00,
540134,IISL        ,X ,Q,14.10,14.20,14.00,14.00,14.20,14.40,7,3602,50878.00,
540135,ARCFIN      ,XT,Q,0.68,0.68,0.65,0.65,0.65,0.67,2,1050,712.00,
540136,HPL         ,B ,Q,61.55,61.55,60.75,61.05,61.05,62.85,127,4176,254626.00,
540143,SAGARSOFT   ,X ,Q,93.70,93.75,85.00,86.90,85.00,89.50,22,710,62324.00,
540145,VALIANTORG  ,M ,Q,1726.20,1735.00,1704.00,1709.00,1704.00,1737.70,19,2850,4892692.00,
540153,ENDURANCE   ,A ,Q,1193.30,1215.00,1167.55,1198.95,1215.00,1184.70,174,1093,1292532.00,
